time,open,high,low,close
728317800,43.9688,43.96899,43.75,43.938
728577000,43.96875,44.25,43.96875,44.25
728663400,44.21875,44.375,44.125,44.34375
728749800,44.40625,44.84375,44.375,44.8125
728836200,44.96875,45.09375,44.875,45
728922600,44.96875,45.0625,44.71875,44.96875
729181800,44.96875,45.125,44.90625,44.96875
729268200,44.8125,44.8125,44.5625,44.65625
729354600,44.65625,44.75,44.53125,44.71875
729441000,44.78125,45.125,44.78125,44.9375
729527400,44.875,44.875,44.59375,44.59375
729873000,44.46875,44.46875,43.40625,43.46875
729959400,43.46875,43.53125,43.28125,43.4375
730045800,43.9375,43.9375,42.8125,43.40625
730132200,43.40625,43.5625,43.34375,43.5625
730391400,43.6875,43.78125,43.5625,43.71875
730477800,43.84375,43.875,43.46875,43.6875
730564200,43.71875,44.25,43.71875,44.25
730650600,44.21875,44.375,44.125,44.34375
730737000,44.4375,44.4375,44.1875,44.40625
730996200,44.5625,44.5625,44.21875,44.28125
731082600,44.3125,44.9375,44.25,44.9375
731169000,45,45.15625,44.9375,45.125
731255400,45.1875,45.1875,44.875,44.875
731341800,44.9375,45.125,44.71875,44.75
731601000,44.84375,45.75,44.84375,45.75
731687400,45.65625,45.6875,45.5,45.59375
731773800,45.59375,45.6875,45.40625,45.6875
731860200,45.71875,45.84375,45.5,45.5625
731946600,45.1875,45.21875,44.8125,45.09375
732205800,45.0625,45.3125,45.0625,45.3125
732292200,45.3125,45.4375,45.3125,45.3125
732378600,45.25,45.25,44.96875,45.03125
732465000,45.21875,45.5,45.21875,45.3125
732551400,45.28125,45.28125,45.03125,45.03125
732810600,44.59375,44.875,44.5625,44.78125
732897000,44.90625,44.9375,44.8125,44.875
732983400,44.8125,45.0625,44.59375,44.875
733069800,44.90625,45.25,44.84375,45.15625
733156200,45.125,45.15625,44.875,44.90625
733415400,44.9375,45.3125,44.9375,45.09375
733501800,45.15625,45.21875,45.09375,45.21875
733588200,45.34375,45.46875,45.1875,45.1875
733674600,45.25,45.25,44.9375,45.03125
733761000,44.65625,44.65625,44.09375,44.09375
734016600,44.4375,44.4375,44.1875,44.3125
734103000,44.40625,44.40625,44.0625,44.1875
734189400,44.25,44.34375,44.15625,44.34375
734275800,44.53125,44.53125,44.09375,44.28125
734621400,44.71875,44.9375,44.65625,44.90625
734707800,44.875,45.15625,44.84375,45
734794200,45.03125,45.0625,44.90625,44.9375
734880600,44.90625,45.03125,44.75,44.9375
734967000,44.96875,45.03125,44.875,44.9375
735226200,44.9375,45.0625,44.71875,44.75
735312600,44.6875,44.75,44.25,44.53125
735399000,44.625,44.625,44.375,44.5
735485400,44.3125,44.6875,43.9375,43.9375
735571800,43.84375,43.96875,43.6875,43.75
735831000,43.78125,43.9375,43.28125,43.40625
735917400,43.34375,43.875,43.34375,43.875
736003800,43.8125,43.90625,43.71875,43.78125
736090200,43.875,43.96875,43.625,43.96875
736176600,44.125,44.28125,44.03125,44.03125
736435800,44.09375,44.3125,43.90625,44.3125
736522200,44.40625,44.625,44.34375,44.46875
736608600,44.46875,44.75,44.46875,44.59375
736695000,44.53125,44.5625,44.40625,44.4375
736781400,44.46875,44.46875,44.28125,44.34375
737040600,44.40625,44.6875,44.40625,44.4375
737127000,44.4375,44.625,44.3125,44.625
737213400,44.4375,44.59375,44.4375,44.5625
737299800,44.375,44.375,44,44.03125
737386200,44.03125,44.15625,43.96875,44
737645400,44.125,44.15625,43.9375,44.15625
737731800,44.1875,44.21875,43.96875,44.125
737818200,44.125,45.03125,43.84375,45.03125
737904600,45.03125,45.15625,44.9375,45.15625
737991000,45.1875,45.25,44.71875,44.75
738250200,44.84375,45.09375,44.84375,44.9375
738336600,45.125,45.125,45.03125,45.03125
738423000,45.15625,45.625,45.125,45.59375
738509400,45.65625,45.65625,45.375,45.4375
738595800,45.40625,45.40625,45,45.21875
738941400,45.375,45.8125,45.3125,45.65625
739027800,45.53125,45.75,45.34375,45.59375
739114200,45.5,45.5,45.34375,45.4375
739200600,45.3125,45.3125,45.09375,45.28125
739459800,45.375,45.375,45.125,45.125
739546200,45,45,44.71875,44.71875
739632600,44.875,45.0625,44.8125,44.875
739719000,44.84375,44.9375,44.75,44.90625
739805400,45.0625,45.15625,44.90625,45.09375
740064600,45.15625,45.1875,45.03125,45.03125
740151000,45.09375,45.125,44.9375,44.9375
740237400,44.9375,45.03125,44.8125,45.03125
740323800,45.125,45.1875,45.03125,45.1875
740410200,44.84375,44.84375,44.5,44.5
740669400,44.625,44.625,44.53125,44.59375
740755800,44.65625,44.65625,44.5625,44.625
740842200,44.625,44.625,44.21875,44.21875
740928600,44.34375,44.8125,44.34375,44.8125
741015000,44.78125,44.90625,44.75,44.78125
741274200,45,45.28125,44.9375,45.28125
741360600,45.21875,45.21875,45,45.0625
741447000,45.125,45.21875,45,45.0625
741533400,45.125,45.125,44.875,44.9375
741619800,44.78125,44.8125,44.53125,44.6875
741965400,44.625,44.75,44.15625,44.21875
742051800,44.1875,44.40625,44.1875,44.34375
742138200,44.375,44.9375,44.3125,44.84375
742224600,44.84375,44.96875,44.75,44.96875
742483800,44.90625,44.96875,44.84375,44.9375
742570200,44.96875,45.09375,44.65625,44.90625
742656600,44.9375,45.1875,44.90625,45.0625
742743000,45.03125,45.03125,44.78125,44.875
742829400,44.90625,44.9375,44.6875,44.75
743088600,44.75,44.75,44.59375,44.71875
743175000,44.6875,44.84375,44.46875,44.84375
743261400,44.78125,44.8125,44.65625,44.8125
743347800,44.75,44.8125,44.5,44.5
743434200,44.59375,44.71875,44.5625,44.71875
743693400,44.84375,45.0625,44.84375,44.96875
743779800,45,45.03125,44.78125,44.9375
743866200,44.84375,44.9375,44.78125,44.84375
743952600,44.9375,45.21875,44.875,45.09375
744039000,45.09375,45.09375,44.78125,44.84375
744298200,44.90625,45.125,44.90625,44.96875
744384600,45.0625,45.1875,44.84375,45
744471000,45,45.09375,44.875,45
744557400,45,45,44.84375,44.90625
744643800,45.03125,45.0625,44.90625,44.96875
744903000,45.09375,45.34375,45,45.21875
744989400,45.1875,45.21875,45.125,45.1875
745075800,45.15625,45.3125,45.15625,45.1875
745162200,45.3125,45.3125,44.90625,45.0625
745248600,45.09375,45.15625,45.09375,45.125
745507800,45.15625,45.5,45.15625,45.375
745594200,45.34375,45.53125,45.34375,45.53125
745680600,45.6875,45.875,45.65625,45.78125
745767000,45.8125,45.8125,45.71875,45.78125
745853400,45.6875,45.8125,45.65625,45.8125
746112600,45.625,45.75,45.625,45.71875
746199000,45.71875,46.21875,45.71875,46.21875
746285400,46.21875,46.4375,46.15625,46.25
746371800,46.28125,46.53125,46.09375,46.28125
746458200,46.15625,46.25,46.15625,46.25
746717400,46.28125,46.5,46.28125,46.4375
746803800,46.40625,46.5625,46.34375,46.5625
746890200,46.40625,46.59375,46.40625,46.5
746976600,46.53125,46.59375,46.3125,46.34375
747063000,46.3125,46.4375,46.25,46.375
747408600,46.375,46.4375,46,46.0625
747495000,46.0625,46.0625,45.59375,45.90625
747581400,45.71875,46.03125,45.71875,46
747667800,46.125,46.4375,46.0625,46.40625
747927000,46.5625,46.5625,46.4375,46.4375
748013400,46.3125,46.3125,46.09375,46.25
748099800,46.0625,46.40625,45.90625,46.375
748186200,46.3125,46.34375,46.15625,46.28125
